DATE,SFXRSA
2003-04-01,144.298681987332
2003-05-01,144.374783909873
2003-06-01,144.84030983785
2003-07-01,146.174846888958
2003-08-01,147.795707259026
2003-09-01,149.63702459684401
2003-10-01,151.550109605693
2003-11-01,153.730253645103
2003-12-01,155.987268306473
2004-01-01,157.843118077118
2004-02-01,159.953920966667
2004-03-01,162.21269955861
2004-04-01,164.53448993876
2004-05-01,166.79996517725402
2004-06-01,169.835306569767
2004-07-01,172.094480590115
2004-08-01,174.53447683256599
2004-09-01,177.016849086902
2004-10-01,180.047779825537
2004-11-01,183.278199882466
2004-12-01,187.11435202199903
2005-01-01,191.621089698459
2005-02-01,196.019017471272
2005-03-01,200.468773709636
2005-04-01,202.307514691381
2005-05-01,204.821164239932
2005-06-01,207.19502804819
2005-07-01,209.307776189839
2005-08-01,210.714975928981
2005-09-01,212.697747307317
2005-10-01,214.12490807396
2005-11-01,215.514595352267
2005-12-01,216.41367569961898
2006-01-01,217.40191561257998
2006-02-01,218.821000134636
2006-03-01,219.294700274429
2006-04-01,218.82197876820203
2006-05-01,218.02448024683997
2006-06-01,216.546908699138
2006-07-01,214.984342685868
2006-08-01,214.310094386579
2006-09-01,213.55848230082802
2006-10-01,213.363147724338
2006-11-01,213.26859782278598
2006-12-01,213.15939523318002
2007-01-01,214.623580940082
2007-02-01,214.88323785524602
2007-03-01,215.31966538224302
2007-04-01,213.530827809389
2007-05-01,210.775011537392
2007-06-01,207.966202399253
2007-07-01,205.566985596424
2007-08-01,204.516741861203
2007-09-01,203.115240237641
2007-10-01,199.647666162698
2007-11-01,194.69566707072
2007-12-01,189.99360419273603
2008-01-01,186.633804467261
2008-02-01,178.852224420475
2008-03-01,172.56817260292
2008-04-01,166.73620861982
2008-05-01,162.559488087815
2008-06-01,158.50156163228598
2008-07-01,154.10533362247102
2008-08-01,148.159324948458
2008-09-01,142.83353285221202
2008-10-01,137.586174457894
2008-11-01,134.681977743545
2008-12-01,130.63250289228
2009-01-01,126.655182005588
2009-02-01,123.973528354242
2009-03-01,121.09241045405399
2009-04-01,120.169215980342
2009-05-01,119.866614135829
2009-06-01,123.34224271251301
2009-07-01,126.158371669081
2009-08-01,129.23566548197599
2009-09-01,131.556396028175
2009-10-01,134.02715766844
2009-11-01,136.11795389932502
2009-12-01,137.02713097606002
2010-01-01,138.49342300900298
2010-02-01,139.296332706766
2010-03-01,140.94301106054
2010-04-01,141.72758166862602
2010-05-01,141.389080867167
2010-06-01,140.53486294530398
2010-07-01,139.860573854482
2010-08-01,139.1726999707
2010-09-01,138.88392025585898
2010-10-01,137.236231367313
2010-11-01,136.98633597624502
2010-12-01,136.909085761508
2011-01-01,136.532341069096
2011-02-01,134.743272699916
2011-03-01,133.713766238878
2011-04-01,133.515284205927
2011-05-01,133.19333514066602
2011-06-01,132.547036278582
2011-07-01,131.930110241971
2011-08-01,131.886342345903
2011-09-01,131.004609256802
2011-10-01,131.161377126085
2011-11-01,129.802908533479
2011-12-01,129.87186275719802
2012-01-01,128.629617830601
2012-02-01,129.215009034468
2012-03-01,129.292496800018
2012-04-01,131.124440469862
2012-05-01,133.56295989562798
2012-06-01,136.279231745618
2012-07-01,138.280073850068
2012-08-01,139.316967621704
2012-09-01,141.224880156216
2012-10-01,143.272583869588
2012-11-01,146.612542999709
2012-12-01,148.868950092782
2013-01-01,151.231443165989
2013-02-01,153.269830524979
2013-03-01,157.307899473111
2013-04-01,161.741856339963
2013-05-01,165.864924915765
2013-06-01,169.44148181579598
2013-07-01,172.91110053261502
2013-08-01,175.455995815009
2013-09-01,178.18735111598
2013-10-01,178.965787805276
2013-11-01,180.994371347364
2013-12-01,182.732368376828
2014-01-01,186.043089679581
2014-02-01,187.29761703238498
2014-03-01,189.73935196183498
2014-04-01,190.638482383894
2014-05-01,191.575334264677
2014-06-01,192.01188234098097
2014-07-01,191.657464193158
2014-08-01,192.069091895377
2014-09-01,193.509033257245
2014-10-01,196.14057587368598
2014-11-01,197.714945197448
2014-12-01,199.933883866288
2015-01-01,200.27842324794702
2015-02-01,205.15699968242902
2015-03-01,208.503940276636
2015-04-01,209.53119442951802
2015-05-01,210.257060935788
2015-06-01,210.737106839545
2015-07-01,211.91328136174198
2015-08-01,213.15522254201
2015-09-01,215.621346116909
2015-10-01,217.860011675483
2015-11-01,219.51203645440103
2015-12-01,220.504170117081
2016-01-01,221.112319208868
2016-02-01,223.29406772337
2016-03-01,225.25159320830502
2016-04-01,225.418340352146
2016-05-01,224.10986633443298
2016-06-01,224.90101148252103
2016-07-01,225.387570826353
2016-08-01,227.955867552674
2016-09-01,228.29914078106498
2016-10-01,230.288014325864
2016-11-01,231.31660537332002
2016-12-01,233.67493389477298
2017-01-01,234.802604573855
2017-02-01,236.74135496428298
2017-03-01,235.712018642547
